"subcat","short_name","name","unit","unit_conv"
-4,"######################################################################################################","#","#","#"
-3,"DO NOT MODIFY THIS FILE. It is generated by frmts/grib/degrib/merge_degrib_and_wmo_tables.py","#","#","#"
-2,from tables at version https://github.com/wmo-im/GRIB2/commit/cf3a2a24695f60f64ac9d5eb26a24b26d2a8a816,"#","#","#"
-1,"######################################################################################################","#","#","#"
0,"VOLAPROB","Volcanic ash probability","%","UC_NONE"
1,"VOLACDTT","Volcanic ash cloud top temperature","K","UC_NONE"
2,"VOLACDTP","Volcanic ash cloud top pressure","Pa","UC_NONE"
3,"VOLACDTH","Volcanic ash cloud top height","m","UC_NONE"
4,"VOLACDEM","Volcanic ash cloud emissivity","Numeric","UC_NONE"
5,"VOLAEADR","Volcanic ash effective absorption optical depth ratio","Numeric","UC_NONE"
6,"VOLACDOD","Volcanic ash cloud optical depth","Numeric","UC_NONE"
7,"VOLACDEN","Volcanic ash column density","kg m-2","UC_NONE"
8,"VOLAPER","Volcanic ash particle effective radius","m","UC_NONE"
